stage1,stage2,dataset,sensitivity,sensitivity_ci_lo,sensitivity_ci_hi,specificity,specificity_ci_lo,specificity_ci_hi,ppv,npv,f1,mcc,fn_per_1000,tp,fp,tn,fn
guardrails,xgboost_sbert,physician_n41,0.0741,0.0206,0.2337,1.0,0.7847,1.0,1.0,0.359,0.1379,0.1631,609.76,2,0,14,25
logreg_tfidf,actionhead,physician_n41,0.4074,0.2451,0.5927,0.7143,0.4535,0.8828,0.7333,0.3846,0.5238,0.1198,390.24,11,4,10,16
logreg_tfidf,claude_opus_4_7_safety,physician_n41,0.8148,0.633,0.9182,0.5714,0.3259,0.7862,0.7857,0.6154,0.8,0.3936,121.95,22,6,8,5
logreg_tfidf,constellation,physician_n41,0.8519,0.6752,0.9408,0.5714,0.3259,0.7862,0.7931,0.6667,0.8214,0.4411,97.56,23,6,8,4
logreg_tfidf,cql_reward_opt,physician_n41,1.0,0.8754,1.0,0.3571,0.1634,0.6124,0.75,1.0,0.8571,0.5175,0.0,27,9,5,0
logreg_tfidf,cql_sens_opt,physician_n41,0.7407,0.5532,0.8683,0.6429,0.3876,0.8366,0.8,0.5625,0.7692,0.3729,170.73,20,5,9,7
logreg_tfidf,gemini_3_1_pro_safety,physician_n41,0.2963,0.1585,0.4848,0.8571,0.6006,0.9599,0.8,0.3871,0.4324,0.1694,463.41,8,2,12,19
logreg_tfidf,guardrails,physician_n41,0.0741,0.0206,0.2337,0.9286,0.6853,0.9873,0.6667,0.3421,0.1333,0.0048,609.76,2,1,13,25
logreg_tfidf,xgboost_sbert,physician_n41,0.963,0.8172,0.9934,0.7857,0.5241,0.9243,0.8966,0.9167,0.9286,0.7803,24.39,26,3,11,1
xgboost_sbert,actionhead,physician_n41,0.4074,0.2451,0.5927,0.9286,0.6853,0.9873,0.9167,0.4483,0.5641,0.3502,390.24,11,1,13,16
xgboost_sbert,claude_opus_4_7_safety,physician_n41,0.8148,0.633,0.9182,0.9286,0.6853,0.9873,0.9565,0.7222,0.88,0.7103,121.95,22,1,13,5
xgboost_sbert,constellation,physician_n41,0.8148,0.633,0.9182,0.9286,0.6853,0.9873,0.9565,0.7222,0.88,0.7103,121.95,22,1,13,5
xgboost_sbert,cql_reward_opt,physician_n41,0.963,0.8172,0.9934,0.9286,0.6853,0.9873,0.963,0.9286,0.963,0.8915,24.39,26,1,13,1
xgboost_sbert,cql_sens_opt,physician_n41,0.7407,0.5532,0.8683,0.9286,0.6853,0.9873,0.9524,0.65,0.8333,0.635,170.73,20,1,13,7
xgboost_sbert,gemini_3_1_pro_safety,physician_n41,0.2963,0.1585,0.4848,0.9286,0.6853,0.9873,0.8889,0.4062,0.4444,0.2576,463.41,8,1,13,19
xgboost_sbert,guardrails,physician_n41,0.0741,0.0206,0.2337,1.0,0.7847,1.0,1.0,0.359,0.1379,0.1631,609.76,2,0,14,25
xgboost_sbert,logreg_tfidf,physician_n41,0.963,0.8172,0.9934,0.7857,0.5241,0.9243,0.8966,0.9167,0.9286,0.7803,24.39,26,3,11,1
